Year,Month,LeaseMonthly,LeaseCumulative,FinanceMonthly,FinanceCumulative,Difference_LeaseMinusFinance,Model,Scenario
1,12,438.76,6298.88,635.87,7630.44,-1331.56,2026 Civic Sport Hybrid Sedan,no down payment
2,24,438.76,11564.0,635.87,15260.88,-3696.88,2026 Civic Sport Hybrid Sedan,no down payment
3,36,438.76,16829.12,635.87,22891.32,-6062.2,2026 Civic Sport Hybrid Sedan,no down payment
4,48,491.09,23808.29,635.87,30521.76,-6713.47,2026 Civic Sport Hybrid Sedan,no down payment
5,60,491.09,29701.37,635.87,38152.2,-8450.83,2026 Civic Sport Hybrid Sedan,no down payment
6,72,491.09,35594.45,0,38152.2,-2557.75,2026 Civic Sport Hybrid Sedan,no down payment
1,12,356.14,7987.32,588.84,9566.08,-1578.76,2026 Civic Sport Hybrid Sedan,with down payment
2,24,356.14,12261.0,588.84,16632.16,-4371.16,2026 Civic Sport Hybrid Sedan,with down payment
3,36,356.14,16534.68,588.84,23698.24,-7163.56,2026 Civic Sport Hybrid Sedan,with down payment
4,48,491.09,23513.85,588.84,30764.32,-7250.47,2026 Civic Sport Hybrid Sedan,with down payment
5,60,491.09,29406.93,588.84,37830.4,-8423.47,2026 Civic Sport Hybrid Sedan,with down payment
6,72,491.09,35300.01,0,37830.4,-2530.39,2026 Civic Sport Hybrid Sedan,with down payment
1,12,273.53,9675.88,541.81,11501.72,-1825.84,2026 Civic Sport Hybrid Sedan,with bigger down payment
2,24,273.53,12958.24,541.81,18003.44,-5045.2,2026 Civic Sport Hybrid Sedan,with bigger down payment
3,36,273.53,16240.6,541.81,24505.16,-8264.56,2026 Civic Sport Hybrid Sedan,with bigger down payment
4,48,491.09,23219.77,541.81,31006.88,-7787.11,2026 Civic Sport Hybrid Sedan,with bigger down payment
5,60,491.09,29112.85,541.81,37508.6,-8395.75,2026 Civic Sport Hybrid Sedan,with bigger down payment
6,72,491.09,35005.93,0,37508.6,-2502.67,2026 Civic Sport Hybrid Sedan,with bigger down payment
1,12,330.12,7649.07,588.84,9566.08,-1917.01,2026 Civic Sport Hybrid Sedan,"1000 annual miles, with 5k down payment"
2,24,330.12,11610.51,588.84,16632.16,-5021.65,2026 Civic Sport Hybrid Sedan,"1000 annual miles, with 5k down payment"
3,36,330.12,15571.95,588.84,23698.24,-8126.29,2026 Civic Sport Hybrid Sedan,"1000 annual miles, with 5k down payment"
4,48,461.83,22170.74,588.84,30764.32,-8593.58,2026 Civic Sport Hybrid Sedan,"1000 annual miles, with 5k down payment"
5,60,461.83,27712.7,588.84,37830.4,-10117.7,2026 Civic Sport Hybrid Sedan,"1000 annual miles, with 5k down payment"
6,72,461.83,33254.66,0,37830.4,-4575.74,2026 Civic Sport Hybrid Sedan,"1000 annual miles, with 5k down payment"
1,12,696.91,9654.83,987.17,11846.04,-2191.21,2026 Ridgeline Sport,no down payment
2,24,696.91,18017.75,987.17,23692.08,-5674.33,2026 Ridgeline Sport,no down payment
3,36,696.91,26380.67,987.17,35538.12,-9157.45,2026 Ridgeline Sport,no down payment
4,48,781.61,37136.6,987.17,47384.16,-10247.56,2026 Ridgeline Sport,no down payment
5,60,781.61,46515.92,987.17,59230.2,-12714.28,2026 Ridgeline Sport,no down payment
6,72,781.61,55895.24,0,59230.2,-3334.96,2026 Ridgeline Sport,no down payment
1,12,615.99,11365.36,940.14,13781.68,-2416.32,2026 Ridgeline Sport,with down payment
2,24,615.99,18757.24,940.14,25063.36,-6306.12,2026 Ridgeline Sport,with down payment
3,36,615.99,26149.12,940.14,36345.04,-10195.92,2026 Ridgeline Sport,with down payment
4,48,781.61,36905.05,940.14,47626.72,-10721.67,2026 Ridgeline Sport,with down payment
5,60,781.61,46284.37,940.14,58908.4,-12624.03,2026 Ridgeline Sport,with down payment
6,72,781.61,55663.69,0,58908.4,-3244.71,2026 Ridgeline Sport,with down payment
1,12,535.04,13075.52,893.11,15717.32,-2641.8,2026 Ridgeline Sport,with bigger down payment
2,24,535.04,19496.0,893.11,26434.64,-6938.64,2026 Ridgeline Sport,with bigger down payment
3,36,535.04,25916.48,893.11,37151.96,-11235.48,2026 Ridgeline Sport,with bigger down payment
4,48,781.61,36672.41,893.11,47869.28,-11196.87,2026 Ridgeline Sport,with bigger down payment
5,60,781.61,46051.73,893.11,58586.6,-12534.87,2026 Ridgeline Sport,with bigger down payment
6,72,781.61,55431.05,0,58586.6,-3155.55,2026 Ridgeline Sport,with bigger down payment
1,12,574.64,10827.82,940.14,13781.68,-2953.86,2026 Ridgeline Sport,"1000 annual miles, with 5k down payment"
2,24,574.64,17723.5,940.14,25063.36,-7339.86,2026 Ridgeline Sport,"1000 annual miles, with 5k down payment"
3,36,574.64,24619.18,940.14,36345.04,-11725.86,2026 Ridgeline Sport,"1000 annual miles, with 5k down payment"
4,48,735.04,34769.7,940.14,47626.72,-12857.02,2026 Ridgeline Sport,"1000 annual miles, with 5k down payment"
5,60,735.04,43590.18,940.14,58908.4,-15318.22,2026 Ridgeline Sport,"1000 annual miles, with 5k down payment"
6,72,735.04,52410.66,0,58908.4,-6497.74,2026 Ridgeline Sport,"1000 annual miles, with 5k down payment"
